employee_code;name;lastname;address;age;start_date;salary;position;department
6C3CAC92-6EED-4DF5-A215-480C2691C21B;Keegan;Patterson;P.O. Box 147- 8675 Donec Ave;38;1010-0707-13131313;21147;Data Scientist;Public Relations
F1CF8C13-8D84-E209-2DF6-44750A6EDFA8;Eagan;Bradshaw;Ap #353-8033 Nam Road;43;2626-0505-17171717;16922;Producer;Sales and Marketing
9F0CCFF7-1FCF-09AD-C64B-C736B3D7BE98;Joshua;Small;826-5962 Auctor Ave;22;0202-1212-15151515;24355;Data Scientist;Tech Support
4BCE6316-2521-38FB-54F8-06AC497E4525;Elvis;Norman;7283 Ornare- Road;32;2525-0101-11111111;24398;Data Scientist;Advertising
3C68EB6A-06BB-F02C-CD30-5EC346B6F3D3;Baker;Thompson;Ap #164-6930 Eu Road;39;2727-1010-18181818;21900;Janitor;Customer Service
F0B85373-2498-9050-84CC-ADCFB502C6B6;Travis;Dejesus;P.O. Box 830- 7595 Auctor- St.;46;1414-0606-17171717;11009;Producer;Finances
63995775-A258-12CF-BE67-6D7A8D62ED52;Burton;Wilson;279-2302 Vivamus Rd.;47;1111-0505-19191919;19897;Marketer;Advertising
C8B83CBF-199C-ED11-134A-7068A45CD7CA;Dillon;Hendrix;402-3104 Lacinia. St.;26;1212-1212-13131313;20260;Data Analyst;Research and Development
40A8A57C-1BF1-813C-DDD2-45C4994B8DDD;Graiden;Hurley;820-3865 Cras St.;34;2626-0303-19191919;22317;Producer;Tech Support
668E0B92-FB27-5998-E35F-FAA9EDDC8FD7;Cody;Morse;Ap #196-8270 Vitae- St.;37;2020-0909-12121212;20078;Tech Support;Customer Relations
5BF3AFC9-A1DC-45FC-F4DD-5E2EF8B7F3F5;Louis;Cabrera;720 Inceptos Av.;50;2121-1010-18181818;12699;Janitor;Human Resources
7108D040-B4B2-980C-E549-587D5A74AADE;Neil;Martinez;P.O. Box 251- 7233 Pede St.;37;2525-0707-12121212;10665;Surveyor;Media Relations
A267FAC2-BEB1-BD0F-C1FE-941F47EE0871;Lane;Solomon;P.O. Box 493- 9585 Ligula. Av.;46;0303-0303-15151515;21532;Surveyor;Human Resources
E448F7F0-8DD4-CB16-C34D-838574CC3A2D;Finn;Lang;141-1493 Nam Road;29;1616-1212-17171717;16312;Janitor;Media Relations
DFA96388-CEF6-4755-EFEB-6CF63E05E63A;Dylan;Hodges;Ap #290-6111 Phasellus Road;22;2727-0909-15151515;21951;Janitor;Sales and Marketing
4071D0D2-C3C3-046A-BCD1-6F6B8875EF44;Hakeem;Chen;Ap #296-1407 Nulla. St.;33;1616-1212-13131313;20829;Asset Manager;Public Relations
0D2DF130-80FE-D606-7CDB-5A664FADE585;Hunter;Summers;2918 Eget Ave;19;1919-0303-14141414;17269;Surveyor;Accounting
0E01F27B-51B4-DDE8-6F5A-ABD72F702930;Zachary;Sanchez;3523 Et Street;44;1616-0505-15151515;20675;Developer;Human Resources
C88D16A2-1FFB-6588-66D3-4EF8964CE278;Curran;Romero;617-7167 Nisi. Rd.;49;2424-1111-16161616;13104;Tech Support;Finances
08E732DC-7285-0BDA-554E-61BAFC453023;Maxwell;Benton;Ap #882-5358 Dapibus Rd.;36;1818-1010-19191919;17730;Asset Manager;Advertising
627B2C62-1483-4669-A7E5-4DC7A4F768F3;Guy;Todd;524-8347 Feugiat St.;28;1616-0606-18181818;14917;Accountant;Tech Support
FE6C6409-BBB6-9EB5-B6E9-9E5D3F672F6B;Stephen;Grant;P.O. Box 541- 3517 Malesuada Rd.;35;0404-1111-11111111;10675;Developer;Legal Department
4C840910-5471-B429-39ED-45CCB9922791;Jarrod;Berg;P.O. Box 503- 9979 Vitae Street;19;2020-1111-19191919;20920;Janitor;Finances
FC852521-198E-2A53-4F6E-31FE720A6EBC;Basil;Emerson;8428 Ac Ave;29;1616-1010-14141414;10698;Surveyor;Sales and Marketing
0EE1744D-D196-7588-E314-32E688FDA1AB;Duncan;Key;7894 In- Avenue;25;3030-0303-19191919;12508;Janitor;Sales and Marketing
289A51A3-977E-EEB5-E8D5-DC2EDC921929;Gavin;Hart;9491 Urna. Avenue;46;2020-0202-15151515;14789;Data Analyst;Sales and Marketing
FEB91ADB-084D-FA6A-47F6-4EDB6A544D13;William;Ewing;3180 Commodo Street;38;2626-0101-17171717;22474;Surveyor;Human Resources
BF978A61-C055-4B0A-ABA4-48184B23432A;Ulysses;Blake;P.O. Box 434- 1138 Lorem St.;37;0505-0606-12121212;23310;Intern;Quality Assurance
B04D43A1-DEC3-29BB-5C55-F5319C184137;Magee;Shepard;326-3543 Auctor Av.;22;2828-0808-16161616;19707;Producer;Research and Development
9143A8EA-9E53-097E-5A0C-CF247BACBF8E;Solomon;Sherman;284-4952 Elit. St.;34;2323-0909-13131313;16888;Marketer;Tech Support
C988B18C-56F9-0DF4-E48B-6527819C8CA7;Valentine;Mckenzie;105-6367 Ipsum. Street;40;0707-0808-15151515;15431;Designer;Payroll
207F72FD-EEA9-4DCE-3685-590B9CB133A9;Caesar;Moon;4869 Enim- St.;45;1919-0808-15151515;16083;Data Analyst;Human Resources
C1E2B8BE-5E4B-FA8D-A319-7742F8FA8A2E;Dieter;Gill;Ap #813-1095 Sit Ave;23;2020-0505-16161616;18831;Salesperson;Tech Support
52BD9BF0-CE35-0EBA-562E-482EF648AC9C;Kamal;Austin;P.O. Box 811- 8259 Ut- Avenue;25;0707-0606-12121212;22637;Monitorist;Quality Assurance
94416ACD-330B-CD51-1415-C92E563BC8A0;Hamilton;Blair;5456 Orci. Rd.;22;0101-0606-16161616;23768;Asset Manager;Asset Management
01D8A131-8F28-8182-B208-B2F0A3CC76C5;Dale;Spence;3852 Quam. St.;34;2020-0808-17171717;21205;Artist;Human Resources
440EF2A8-1B9D-ACE6-3D40-D16A001C24C3;Joel;Dunn;P.O. Box 813- 8200 Cursus. Av.;36;2424-0505-19191919;12819;Data Analyst;Legal Department
7D5DD0DC-EA76-F2B7-2968-1504EEC0F2AC;Lars;Brewer;P.O. Box 786- 8453 Et St.;20;1111-1212-17171717;22191;Marketer;Asset Management
1F66F662-A377-947B-9050-9352D861149B;Baker;Avery;Ap #803-3872 Lectus Rd.;19;1313-0808-11111111;24379;Tech Support;Research and Development
0E786457-B12B-0035-271A-5620A22059AA;Hoyt;Perez;Ap #141-3466 Arcu. Av.;44;1616-0505-18181818;22618;Developer;Research and Development
33317749-205A-E532-3894-986CB20F86B8;Dale;Fields;2605 Neque Rd.;23;0303-1212-19191919;19996;Intern;Legal Department
A4B65B5E-FF3B-BA9C-7286-AC77792AC79A;Herman;Frost;Ap #170-4762 Ligula. St.;41;2828-0404-12121212;21953;Asset Manager;Tech Support
31854353-C79F-806C-B706-6D174FD98860;Addison;Mcdowell;8796 Pellentesque Street;50;0404-0909-16161616;18093;Surveyor;Finances
9D518273-9C9F-98A4-E4F4-7356736D5BDF;Drew;Nelson;718-1016 Augue- Av.;20;3131-0303-19191919;18811;Designer;Advertising
4421A169-D3A0-8B51-5B1C-30480E50084C;Rudyard;Bauer;P.O. Box 110- 764 Neque St.;24;0202-0505-19191919;19217;Surveyor;Public Relations
25ED5BBB-B05B-A493-B147-6CAC3A2FF7FF;Trevor;Mccullough;Ap #442-337 Mi Ave;33;0909-0707-11111111;16864;Developer;Advertising
0ED78F64-227E-4A8A-62B3-1CFEED096D61;Dalton;Mcclain;P.O. Box 396- 9010 Porttitor Rd.;36;2828-0909-16161616;14941;Data Analyst;Finances
68791D3F-AAFE-BEB9-ACCB-12523300F6FC;Andrew;Walsh;857-9372 Fermentum Street;34;0808-0404-15151515;18984;Salesperson;Asset Management
8A2277A1-49EE-F0D1-34D6-872AB4078B99;Tarik;Combs;Ap #941-5003 Pharetra St.;23;2323-0202-16161616;14817;Designer;Quality Assurance
B064B539-6A68-C328-5181-81E241BF925F;Tyrone;Irwin;213-4166 Placerat St.;42;1717-1010-11111111;14776;Monitorist;Customer Relations
2DA39652-E7FB-C876-C0C3-100B3C8879BF;Blake;Logan;Ap #227-298 Velit. Ave;40;0101-0707-15151515;19678;Data Scientist;Customer Service
08737266-279D-9920-7BD7-00EBD7CD84F0;Quentin;Fields;1020 Non- Street;24;1919-1010-15151515;14992;Producer;Quality Assurance
9FA7C1EF-360E-3221-810C-2B1430BDC65E;Cody;Castaneda;415-4895 Ut- Road;50;2424-0909-17171717;21378;Janitor;Customer Relations
25BE4E3C-7F4A-AF2B-C36C-654F48A7C902;Nissim;Love;383-8934 Id- Av.;29;1010-0404-13131313;25371;Accountant;Public Relations
BA013CD6-1FF5-BB5A-D524-DC9CCA9C9CC8;Merrill;Avery;915-8170 Cras Street;19;2727-0606-14141414;14217;Asset Manager;Customer Service
3A5CEF26-FEDE-6919-3DEC-D9424BF65093;Philip;Tyler;P.O. Box 846- 4940 Orci- Rd.;19;0303-0303-15151515;15754;Producer;Tech Support
08F0B453-7A3E-F620-F8A5-A68D02CBA380;Shad;Duran;Ap #589-7925 Gravida Street;41;1414-0909-17171717;23240;Artist;Sales and Marketing
719FE4D6-B2AF-E0D8-7EB4-71DDDB3A251C;Phillip;Wall;873-5817 Donec Street;43;2424-1212-11111111;16878;Artist;Customer Service
6840A5C9-1392-AB48-D980-B07DF7E3FEAC;Abbot;Carpenter;Ap #558-613 Inceptos Avenue;30;1717-1212-18181818;19310;Maintenance;Sales and Marketing
2F2B4CA8-070E-E9D4-C531-7ECAF13CAB10;Baxter;Garner;Ap #419-5437 At- Road;24;1515-0505-19191919;25938;Data Scientist;Customer Relations
39FE343D-64E7-6DDA-694E-03CACC1D781D;Jonas;Duncan;508-1606 Habitant Street;34;0404-1010-19191919;15322;Tech Support;Customer Service
7BE63CAD-A070-970E-0D18-1D2772CC063C;Luke;Lopez;8722 Donec Road;34;0909-0505-13131313;22924;Accountant;Sales and Marketing
3F0DD5C8-3EB8-F295-7986-1784F359B905;Phillip;Salinas;9002 Accumsan Rd.;25;0909-0707-19191919;16932;Janitor;Legal Department
A0F28532-FFF8-07AA-8EAF-AB77C0785EB4;Howard;Hart;2594 Enim. Road;35;1111-1111-18181818;18623;Salesperson;Finances
0B3CA644-639C-106C-2B8A-3BAD737B69B1;Aaron;Mckinney;P.O. Box 968- 3360 Nulla. Ave;33;0101-0707-17171717;24449;Maintenance;Finances
4B90F483-FC48-8351-0991-E95EB23F12A5;Sebastian;Sherman;P.O. Box 868- 9050 Quis Rd.;30;2222-0404-12121212;10732;Producer;Asset Management
3465D494-6886-0344-A7BC-E7FDB201E57A;Brody;Emerson;P.O. Box 944- 1465 Posuere- Street;29;2828-0505-19191919;18490;Designer;Advertising
82D4FE83-69C3-D669-E4B2-D60AB1D981D1;Matthew;Gibson;475-3852 Elit. St.;44;2020-0101-19191919;23164;Developer;Advertising
8D859CB3-9123-4F07-755C-46DF1701359F;Harlan;Fisher;Ap #407-6588 A- Av.;49;0707-0202-15151515;22107;Designer;Public Relations
BBB1B111-8762-E81C-E3EC-B58ABEB32379;Griffith;Mckay;355-2277 Augue Avenue;45;1212-0303-17171717;21461;Designer;Customer Relations
552F391F-B52D-E971-FDDE-EEC96EE12811;Kennan;Burt;P.O. Box 321- 4537 Quis Avenue;36;0606-1212-16161616;11001;Monitorist;Public Relations
7866709D-538D-0656-7DE7-9B17FF12FBB2;Linus;Luna;7168 Bibendum Rd.;31;1414-0808-16161616;18254;Marketer;Advertising
A6378C18-A777-FD12-E387-D1CBA5DCB88E;Keefe;Guthrie;133-6131 Vivamus Avenue;36;1717-0606-11111111;23097;Accountant;Media Relations
0C786633-4621-5E4C-7D07-76DF621EDFC1;Finn;Noble;P.O. Box 938- 4400 Cursus Rd.;24;2828-1010-12121212;20695;Salesperson;Customer Relations
3BD676DC-38E9-042C-E6B2-61CCD4A36E28;Oscar;Pearson;8257 Ligula Avenue;38;1818-1212-10101010;23153;Data Scientist;Public Relations
B473EEA3-3515-DEEC-4CAE-B4399BA62315;Hoyt;Stephens;Ap #943-7459 Praesent St.;27;0808-0404-14141414;22670;Accountant;Legal Department
48A8F04A-E846-5D45-25CD-E4FFE30FF85C;Andrew;Franco;P.O. Box 851- 9644 Vitae Ave;47;1818-1212-11111111;24559;Data Analyst;Customer Relations
BF801F7D-D46A-4D9B-8B12-E536DCDA2792;Alexander;Rowland;462-7426 Tincidunt Road;39;0808-1212-10101010;12602;Salesperson;Media Relations
88158B4F-1E30-95DF-DA9F-385DFD6F0C90;Perry;Olson;5080 Odio. Rd.;24;2727-0707-15151515;15061;Janitor;Asset Management
9B084926-FD27-6A4E-9A53-8CA99D57A7AB;Dominic;Hansen;971 Eros Street;38;2525-0303-19191919;10312;Marketer;Finances
0ABD52B5-7E5A-F01E-F421-05F059B5B41F;Tarik;Henson;P.O. Box 322- 9977 Nunc Rd.;44;0303-0606-11111111;25247;Data Analyst;Media Relations
E5E9F3F9-1429-9BEF-E499-D68F98709A23;Preston;Klein;P.O. Box 361- 1868 Arcu Avenue;22;0202-0606-15151515;10888;Janitor;Research and Development
7AFBB1E4-83B9-31FE-650F-D8F145A42D1C;Abel;Cotton;429-9149 Integer St.;32;2222-0808-18181818;25276;Maintenance;Advertising
F01B2EC5-7D3E-B608-30CF-E9DFD3B28AEF;Stephen;Schroeder;9303 Sem Av.;38;1010-0202-15151515;22652;Data Scientist;Advertising
77A45C1B-EF9E-2D89-6755-70CF396AFBB7;Brock;Johns;9047 Lacus. Road;20;3030-0303-16161616;17828;Asset Manager;Research and Development
0AA44B35-4AD9-AA2E-2ADE-7AD18948A684;Kenneth;Alexander;P.O. Box 930- 1500 Nec- Street;23;0909-0707-16161616;25370;Monitorist;Accounting
386F6312-D618-E146-F5A1-E611B0EF4AA5;Myles;Paul;754-4459 Sodales. Rd.;46;3030-0303-12121212;15569;Data Scientist;Sales and Marketing
66A346C0-ECE0-FF45-6973-A7B67DD53AD0;Amos;Barry;9057 Lacus. St.;35;2525-0202-15151515;22357;Intern;Customer Service
5EE70EF3-A28A-6E74-1662-2D1F8F59FC4B;Bernard;Huber;584-2199 Lorem Ave;36;3131-1010-19191919;10592;Maintenance;Asset Management
E5718CF4-FE6E-128F-9264-A008682EFB60;Ciaran;Castro;Ap #363-1320 Ante. St.;50;1313-1111-12121212;16135;Janitor;Legal Department
7F21695F-0EA1-8A45-472D-B42A4185196C;Beau;Preston;P.O. Box 765- 8260 Dolor. Rd.;25;0101-0808-11111111;23668;Salesperson;Customer Service
3D8C83E9-57D6-2F5B-3624-4412CF406564;Ferris;Griffith;5911 Et St.;38;2525-0808-11111111;22276;Intern;Customer Relations
678B94C2-6130-8F1B-B9BF-654CF39584BF;Beck;Day;P.O. Box 534- 1398 Quisque Street;43;1313-1010-18181818;25842;Designer;Research and Development
B2A0B46E-2635-6C0B-BC47-C2DA87A24924;Maxwell;Hamilton;847 Lorem Rd.;39;2929-0909-12121212;23801;Tech Support;Research and Development
F36D573D-7C5B-4492-D71D-26F56D3B37C1;Evan;Beck;Ap #107-8812 Eu Avenue;41;0505-1111-13131313;24048;Maintenance;Research and Development
E5C0C188-9FFB-71C4-2BC3-A4F0ED87B74F;Howard;Gibbs;5699 Dui Av.;19;1818-0909-16161616;16713;Surveyor;Payroll
192374D7-9859-77DF-B1BF-980C87E4BFF9;Gannon;Nelson;Ap #899-9963 Odio Av.;49;2626-0909-11111111;18411;Data Scientist;Customer Relations
9513E0CE-5A7A-40CC-1431-B4990EEBD173;Barry;Holden;P.O. Box 183- 8760 Magna. Rd.;46;2323-0101-17171717;12997;Janitor;Advertising
2F51C794-8465-DA49-9374-DE706B2F67D7;Reese;Foley;P.O. Box 115- 5515 Cras Av.;28;0606-0202-19191919;18170;Data Analyst;Finances
4BC95BA7-6FA9-CF94-21CA-FA7B265CDC51;Kaseem;Savage;Ap #540-1167 Non St.;34;2323-0505-12121212;22824;Janitor;Accounting
FE6C6409-BBB6-9EB5-B6E9-9E5D3F672F6B;Stephen;Grant;P.O. Box 541- 3517 Malesuada Rd.;35;0404-1111-11111111;10675;Developer;Legal Department
4C840910-5471-B429-39ED-45CCB9922791;Jarrod;Berg;P.O. Box 503- 9979 Vitae Street;19;2020-1111-19191919;20920;Janitor;Finances
FC852521-198E-2A53-4F6E-31FE720A6EBC;Basil;Emerson;8428 Ac Ave;29;1616-1010-14141414;10698;Surveyor;Sales and Marketing
0EE1744D-D196-7588-E314-32E688FDA1AB;Duncan;Key;7894 In- Avenue;25;3030-0303-19191919;12508;Janitor;Sales and Marketing
289A51A3-977E-EEB5-E8D5-DC2EDC921929;Gavin;Hart;9491 Urna. Avenue;46;2020-0202-15151515;14789;Data Analyst;Sales and Marketing
FEB91ADB-084D-FA6A-47F6-4EDB6A544D13;William;Ewing;3180 Commodo Street;38;2626-0101-17171717;22474;Surveyor;Human Resources
BF978A61-C055-4B0A-ABA4-48184B23432A;Ulysses;Blake;P.O. Box 434- 1138 Lorem St.;37;0505-0606-12121212;23310;Intern;Quality Assurance
B04D43A1-DEC3-29BB-5C55-F5319C184137;Magee;Shepard;326-3543 Auctor Av.;22;2828-0808-16161616;19707;Producer;Research and Development
9143A8EA-9E53-097E-5A0C-CF247BACBF8E;Solomon;Sherman;284-4952 Elit. St.;34;2323-0909-13131313;16888;Marketer;Tech Support
C988B18C-56F9-0DF4-E48B-6527819C8CA7;Valentine;Mckenzie;105-6367 Ipsum. Street;40;0707-0808-15151515;15431;Designer;Payroll
207F72FD-EEA9-4DCE-3685-590B9CB133A9;Caesar;Moon;4869 Enim- St.;45;1919-0808-15151515;16083;Data Analyst;Human Resources
C1E2B8BE-5E4B-FA8D-A319-7742F8FA8A2E;Dieter;Gill;Ap #813-1095 Sit Ave;23;2020-0505-16161616;18831;Salesperson;Tech Support
52BD9BF0-CE35-0EBA-562E-482EF648AC9C;Kamal;Austin;P.O. Box 811- 8259 Ut- Avenue;25;0707-0606-12121212;22637;Monitorist;Quality Assurance
82D4FE83-69C3-D669-E4B2-D60AB1D981D1;Matthew;Gibson;475-3852 Elit. St.;44;2020-0101-19191919;23164;Developer;Advertising
8D859CB3-9123-4F07-755C-46DF1701359F;Harlan;Fisher;Ap #407-6588 A- Av.;49;0707-0202-15151515;22107;Designer;Public Relations
BBB1B111-8762-E81C-E3EC-B58ABEB32379;Griffith;Mckay;355-2277 Augue Avenue;45;1212-0303-17171717;21461;Designer;Customer Relations
552F391F-B52D-E971-FDDE-EEC96EE12811;Kennan;Burt;P.O. Box 321- 4537 Quis Avenue;36;0606-1212-16161616;11001;Monitorist;Public Relations
7866709D-538D-0656-7DE7-9B17FF12FBB2;Linus;Luna;7168 Bibendum Rd.;31;1414-0808-16161616;18254;Marketer;Advertising
A6378C18-A777-FD12-E387-D1CBA5DCB88E;Keefe;Guthrie;133-6131 Vivamus Avenue;36;1717-0606-11111111;23097;Accountant;Media Relations
0C786633-4621-5E4C-7D07-76DF621EDFC1;Finn;Noble;P.O. Box 938- 4400 Cursus Rd.;24;2828-1010-12121212;20695;Salesperson;Customer Relations
3BD676DC-38E9-042C-E6B2-61CCD4A36E28;Oscar;Pearson;8257 Ligula Avenue;38;1818-1212-10101010;23153;Data Scientist;Public Relations
B473EEA3-3515-DEEC-4CAE-B4399BA62315;Hoyt;Stephens;Ap #943-7459 Praesent St.;27;0808-0404-14141414;22670;Accountant;Legal Department
48A8F04A-E846-5D45-25CD-E4FFE30FF85C;Andrew;Franco;P.O. Box 851- 9644 Vitae Ave;47;1818-1212-11111111;24559;Data Analyst;Customer Relations
BF801F7D-D46A-4D9B-8B12-E536DCDA2792;Alexander;Rowland;462-7426 Tincidunt Road;39;0808-1212-10101010;12602;Salesperson;Media Relations
88158B4F-1E30-95DF-DA9F-385DFD6F0C90;Perry;Olson;5080 Odio. Rd.;24;2727-0707-15151515;15061;Janitor;Asset Management
9B084926-FD27-6A4E-9A53-8CA99D57A7AB;Dominic;Hansen;971 Eros Street;38;2525-0303-19191919;10312;Marketer;Finances
0ABD52B5-7E5A-F01E-F421-05F059B5B41F;Tarik;Henson;P.O. Box 322- 9977 Nunc Rd.;44;0303-0606-11111111;25247;Data Analyst;Media Relations
E5E9F3F9-1429-9BEF-E499-D68F98709A23;Preston;Klein;P.O. Box 361- 1868 Arcu Avenue;22;0202-0606-15151515;10888;Janitor;Research and Development
7AFBB1E4-83B9-31FE-650F-D8F145A42D1C;Abel;Cotton;429-9149 Integer St.;32;2222-0808-18181818;25276;Maintenance;Advertising
F01B2EC5-7D3E-B608-30CF-E9DFD3B28AEF;Stephen;Schroeder;9303 Sem Av.;38;1010-0202-15151515;22652;Data Scientist;Advertising
77A45C1B-EF9E-2D89-6755-70CF396AFBB7;Brock;Johns;9047 Lacus. Road;20;3030-0303-16161616;17828;Asset Manager;Research and Development
0AA44B35-4AD9-AA2E-2ADE-7AD18948A684;Kenneth;Alexander;P.O. Box 930- 1500 Nec- Street;23;0909-0707-16161616;25370;Monitorist;Accounting
386F6312-D618-E146-F5A1-E611B0EF4AA5;Myles;Paul;754-4459 Sodales. Rd.;46;3030-0303-12121212;15569;Data Scientist;Sales and Marketing
